政黨,順位,姓名,現任立委 (Y/N),曾任立委 (Y/N),生日,年齡,照片,wiki,FB 粉絲專頁,學歷,學歷連結,經歷,經歷連結,政見,政見連結
國會政黨聯盟,0,,,,,,,https://zh.wikipedia.org/wiki/國會政黨聯盟,https://www.facebook.com/CongressPartyAlliance/,,,,,"國會政黨聯盟為革新政府體制，改革開放，保障人民應有之自由與社會福利，積極發展各項經濟建設，締造全民富裕生活；促進政黨合作，推動兩岸和平發展，建設台灣為宗旨。

當前的任務！
搶救台灣　免於武統
轉危為安　偉大堅強

國會的重要！
國會是民主殿堂　國會是人民希望
國會是台灣命脈　國會要和平發展政府的職責！
政府是人民公僕　政府是人民保母
政府為人民服務　政府為人民盡職",https://www.facebook.com/CongressPartyAlliance/
時代力量,,,,,,,,,,,,,,,
宗教聯盟,0,,,,,,,,https://www.facebook.com/InterfaithUnion/posts/1675584355921758/,,,由佛教、道教、一貫道、天主教與基督教等9大教派所組成的宗華教信聯盟黨（官方簡稱「宗教聯盟」,https://www.peoplenews.tw/news/22be38f6-1ce3-4995-81b6-af683bc06814,"「宗教聯盟」，初始名稱為「宗華教信聯盟」，英文名稱為 Interfaith Union ，縮寫成 IFU，成立於2017年5月16日。現任黨主席為朱武獻。
宗教聯盟計劃在2020立法委員大選中，取得三席以上的立委席次，建立立院黨團，與藍、綠黨團平等協商，捍衛宗教團體關注的議題與基本價值，更希望藉由集結各宗教智慧，引導政治發揮宗教精神慈悲照顧人民。

本黨以「無小我、無籓籬、無國界」為底蘊，願善盡宗教跨文化交流之特長，扮演溫和理性、和平中道的角色，期許臺灣未來能在全世界有廣闊的空間並散播和平友善之種子。",https://www.facebook.com/InterfaithUnion/
台灣基進,0,,,,,,,,https://www.facebook.com/Statebuilding.tw/,,,,,,
民主進步黨,,,,,,,,,,,,,,,
勞動黨,,,,,,,,,,,,,,,
中國國民黨,,,,,,,,,,,,,,,
綠黨,,,,,,,,,,,,,,,
親民黨,,,,,,,,,,,,,,,
台灣民眾黨,,,,,,,,,,,,,,,
台灣團結聯盟,0,,,,1972-10-07,,,,,,,,,"台聯內部規劃，若當選不分區立委，將採「一個立委席次、兩人輪替服務」方式，個別立委任期僅2年，2年一到即辭任，由不分區名單成員依序遞補，藉此讓更多人至立法院為民發聲，並鼓勵個別立委4年要做的事，只用2年就完成。


    效忠台灣、團結台灣
    檢討一例一休政策
    本外勞薪資脫鉤
    加速淘汰不適任法官，支持陪審團制度
    義務役納入勞保年資與爭取陸一特補償
    立法禁止中國政府、中資與親中台商操縱台灣媒體及節目
    推動國會調查權立法
    全民變更各級教育文史科內容，以台灣為中心
    精簡大學研究所數量，強化技職教育
    反菸捐救長照
",
台灣維新,0,,,,,,,,,,,,,"台灣維新十大政見

1、打破台灣悶經濟及中央集權集稅體制，推動分稅制，企業及個人稅賦，一半留在地方，鼓勵地方招商、振興經濟。

2、打破政府威權心態，成立專責單位，檢討政府對各行各業不合理的管制。 例如：不分行業別的一例一休。

3、改革六都區長官派的反民主體制；推動六都區恢復地方自治，有自主財源、權限、民選公職。

4、改革地方選舉，推動鄉鎮市區朝向委員會制、全政黨比例代表制、開放地方政黨，杜絕黑金。縣市直轄市議員，一半政黨比例。

5、小孩國家養，推動社區保母中心，0-6歲育兒津貼每月4500元。6. 保障全民基本生活收入每月8000元。

7、人人有屋住。六都人口稠密區，課徵空屋稅；擴大囤房稅。並推動租金管制法，防止「炒房」。

8、全面實施長照社會保險，失能者全面受到政府保障。

9、推動老年離農退休制度，讓老農民安心退休，年輕農民容易便宜取得耕地，活化農村。

10、避免窮者愈窮，私立大學費比照公立大學，一律平等，超過部分由政府負責。

原文網址: 台灣維新不分區立委名單出爐　賀德芬第一、蘇煥智第六 | ETtoday政治 | ETtoday新聞雲 https://www.ettoday.net/news/20191122/1585745.htm#ixzz667JuHazK
Follow us: @ETtodaynet on Twitter | ETtoday on Facebook
",https://www.ettoday.net/news/20191122/1585745.htm
台澎黨,,,,,,,,,https://www.facebook.com/ssfpp.tw/,,,,,「台澎黨」準主席鄭自才表示，1952年4月28日《舊金山合約》生效，日本根據合約放棄台灣與澎湖的主權，但沒有國家取得台澎主權，中華民國是「分區受降佔領」台灣，進行代管。    鄭自才說，中華民國從頭到尾都是替盟軍佔領台灣與澎湖，本來就沒有台灣與澎湖的主權，因此主張繼承中華民國的中華人民共和國，也不可能拿到台澎主權，當然也無權主張台灣是中國的一部分。為讓台灣早日成為主權獨立國家，將成立台澎黨，並參加2020年立委選舉，盼藉此讓社會了解真相。,
中華統一促進黨,0,,,,,,,,https://www.facebook.com/china999/,,,,,,
喜樂島聯盟,,,,,,,,,,,,,,,
新黨,,,,,,,,,,,,,,,
合一行動聯盟,0,,,,,,,,https://www.facebook.com/Uaa2020/,,,「合一行動聯盟」是一個新成立代表第三勢力政黨，發起人共153位，皆是卑微默默無名的基督徒，我們願意與台灣所有宗教人士、各黨各派、所有族群尋求合一，為中華民國台灣盡一份公民責任,,,
一邊一國行動黨,0,,,,,,,,https://www.facebook.com/TaiwanActionPartyAlliance/,,,https://tapa.tw/,,"十大政見，九大福利政策
",https://www.youtube.com/watch?v=saxT-r5VLMk
安定力量,0,,,,,,,https://zh.wikipedia.org/wiki/安定力量,https://www.facebook.com/StabilityOfPower/,,,,,家庭主流化」及「還我公投」,https://www.nownews.com/news/20191122/3772607/
