地區,姓名,地區排序,得票數,推薦政黨,得票率,當選註記,是否現任,委員會,性別,出生年次,捐贈企業數,總收入,個人捐贈收入,個人捐贈比例,營利事業捐贈收入,營利事業捐贈比例,政黨捐贈收入,政黨捐贈收入比例,人民團體捐贈收入,人民團體收入比例,匿名捐贈收入,匿名捐贈比例,其他收入,其他收入比例,超過三萬元之收入,總支出
新竹市第01選區,柯建銘,5,90642,民主進步黨,41.33%,*,是,司法法制,男,1951,49,51641147,"21,483,455",41.60%,26915133,52.12%,0,0.00%,"3,020,000",5.85%,"222,011",0.43%,548,0.00%,"50,082,288","52,187,931"
高雄市第02選區,邱志偉,15,110819,民主進步黨,63.23%,*,是,經濟,男,1972,133,38603507,"16,633,768",43.09%,21244000,55.03%,0,0.00%,"715,000",1.85%,"2,084",0.01%,"8,655",0.02%,"36,377,000","23,364,997"
新北市第04選區,吳秉叡,3,116723,民主進步黨,62.98%,*,是,財政,男,1966,89,50205014,"25,805,088",51.40%,20961000,41.75%,"2,850,000",5.68%,"430,000",0.86%,"138,800",0.28%,"20,126",0.04%,"46,117,400","29,187,360"
臺北市第01選區,丁守中,2,82649,中國國民黨,43.77%,,是,,男,1954,68,49603735,"23,239,699",46.85%,19499800,39.31%,"5,200,000",10.48%,"1,652,000",3.33%,"1,000",0.00%,"11,236",0.00%,"47,109,800","23,976,768"
新北市第01選區,吳育昇,3,84582,中國國民黨,40.87%,,是,,男,1958,71,45556665,"20,315,100",44.59%,19478481,42.76%,"5,200,000",11.41%,"516,000",1.13%,"43,500",0.10%,"3,584",0.00%,"42,851,481","37,212,168"
臺中市第01選區,蔡其昌,8,84355,民主進步黨,60.13%,*,是,司法法制,男,1969,68,44137502,"26,215,866",59.40%,17190000,38.95%,0,0.00%,"683,200",1.55%,"44,768",0.10%,"3,668",0.01%,"41,600,000","22,357,273"
彰化縣第01選區,王惠美,10,92373,中國國民黨,56.19%,*,是,經濟,女,1968,132,40045127,"17,832,888",44.53%,16750470,41.83%,"5,000,000",12.49%,"456,000",1.14%,"5,080",0.01%,689,0.00%,"36,839,870","40,541,075"
臺南市第05選區,王定宇,14,153553,民主進步黨,72.04%,*,否,外交國防,男,1969,163,38696425,"21,684,986",56.04%,16430000,42.46%,0,0.00%,"328,000",0.85%,"242,668",0.63%,"10,771",0.03%,"32,000,258","23,490,721"
臺中市第05選區,盧秀燕,8,108446,中國國民黨,51.51%,*,是,財政,女,1961,39,36927974,"16,124,339",43.66%,15213900,41.20%,"5,500,000",14.89%,"50,000",0.14%,"35,200",0.10%,"4,535",0.01%,"34,897,788","33,523,594"
高雄市第05選區,管碧玲,15,88506,民主進步黨,59.43%,*,是,經濟,女,1956,130,45831478,"22,541,588",49.18%,14440000,31.51%,0,0.00%,"1,076,000",2.35%,"7,767,312",16.95%,"6,578",0.01%,"33,241,000","36,173,156"
新北市第11選區,羅明才,3,93962,中國國民黨,51.00%,*,是,財政,男,1967,54,28683969,"7,858,000",27.40%,14098000,49.15%,"5,000,000",17.43%,"1,700,000",5.93%,"24,200",0.08%,"3,769",0.01%,"28,180,000","27,548,369"
臺中市第02選區,顏寬恒,8,93495,中國國民黨,46.65%,*,是,內政,男,1977,39,27809014,"8,679,780",31.21%,13349000,48.00%,"5,000,000",17.98%,"780,000",2.80%,0,0.00%,234,0.00%,"27,571,000","35,298,672"
苗栗縣第01選區,陳超明,7,56373,中國國民黨,42.26%,*,是,經濟,男,1951,48,29502803,"9,468,000",32.09%,13320000,45.15%,"6,000,000",20.34%,"680,000",2.30%,"33,200",0.11%,"1,603",0.01%,"29,080,000","29,701,445"
高雄市第03選區,劉世芳,15,102255,民主進步黨,53.50%,*,否,外交國防,女,1959,76,34688370,"20,953,998",60.41%,13070000,37.68%,0,0.00%,"622,000",1.79%,"31,100",0.09%,"11,272",0.03%,"29,900,000","32,775,137"
高雄市第08選區,許智傑,15,110276,民主進步黨,59.13%,*,是,教育文化,男,1966,87,26575413,"12,292,586",46.26%,12684000,47.73%,0,0.00%,"1,596,020",6.01%,0,0.00%,"2,807",0.01%,"23,714,600","27,286,725"
臺北市第02選區,姚文智,2,107366,民主進步黨,59.29%,*,是,內政,男,1965,80,32062954,"16,651,934",51.94%,12474000,38.90%,0,0.00%,"760,000",2.37%,"2,173,909",6.78%,"3,111",0.01%,"26,640,000","23,605,341"
臺北市第04選區,李彥秀,2,89612,中國國民黨,41.73%,*,否,社福衛環,女,1971,34,23941655,"6,188,496",25.85%,12446800,51.99%,"5,000,000",20.88%,"300,000",1.25%,"3,000",0.01%,"3,359",0.01%,"23,190,000","15,625,572"
高雄市第01選區,邱議瑩,15,87432,民主進步黨,59.02%,*,是,經濟,女,1971,101,24547958,"11,350,834",46.24%,12038000,49.04%,0,0.00%,"1,156,000",4.71%,0,0.00%,"3,124",0.01%,"21,136,000","22,857,862"
高雄市第07選區,趙天麟,15,97228,民主進步黨,60.50%,*,是,內政,男,1973,80,36633614,"22,811,174",62.27%,11768000,32.12%,"741,000",2.02%,"1,202,000",3.28%,"107,200",0.29%,"4,240",0.01%,"32,033,000","27,714,918"
新北市第03選區,高志鵬,3,96557,民主進步黨,54.54%,*,是,經濟,男,1963,49,28658947,"15,821,169",55.20%,11318000,39.49%,"475,000",1.66%,"950,000",3.31%,"92,690",0.32%,"2,088",0.01%,"27,295,000","20,357,048"
臺南市第03選區,陳亭妃,14,149002,民主進步黨,71.37%,*,是,教育文化,女,1974,143,28087860,"16,730,101",59.56%,11275990,40.15%,0,0.00%,"10,000",0.04%,"70,700",0.25%,"1,069",0.00%,"21,447,980","21,568,942"
臺北市第07選區,費鴻泰,2,74455,中國國民黨,45.04%,*,是,財政,男,1954,38,34231446,"16,051,520",46.89%,10939000,31.96%,"5,700,000",16.65%,"1,488,000",4.35%,"48,320",0.14%,"4,606",0.01%,"31,676,000","27,870,329"
高雄市第06選區,李昆澤,15,83986,民主進步黨,58.93%,*,是,交通,男,1964,89,29726607,"17,035,160",57.31%,10888000,36.63%,0,0.00%,"1,586,000",5.34%,"213,950",0.72%,"3,497",0.01%,"25,282,000","28,100,435"
臺北市第08選區,賴士葆,2,83931,中國國民黨,49.69%,*,是,財政,男,1951,18,26831760,"10,274,980",38.29%,10650000,39.69%,"5,500,000",20.50%,"400,000",1.49%,"3,500",0.01%,"3,280",0.01%,"25,971,900","27,087,986"
臺南市第04選區,林俊憲,14,117302,民主進步黨,58.89%,*,否,交通,男,1965,57,23538660,"12,799,960",54.38%,10272500,43.64%,0,0.00%,"460,000",1.95%,"5,000",0.02%,"1,200",0.01%,"22,089,500","23,310,324"
